BookComment,BookLink,BookName,BookPrice,PressName,PublishTime,TuijianPoint,WriterMsg,paiming
1201288条评论,http://product.dangdang.com/23761145.html,人间失格（日本小说家太宰治的自传体小说）,¥21.00,作家出版社,2015-08-01,100%推荐,（日）太宰治　著，杨伟　译,1
2199588条评论,http://product.dangdang.com/25137790.html,活着（2017年新版）,¥28.00,作家出版社,2012-08-01,100%推荐,余华,2
147628条评论,http://product.dangdang.com/25308985.html,丰子恺万般滋味，都是生活,¥35.40,华中科技大学出版社,2018-09-01,100%推荐,丰子恺,3
624078条评论,http://product.dangdang.com/24175371.html,月亮与六便士（新版未删节！2018当当名著桂冠！2017豆瓣阅读桂冠,¥32.60,浙江文艺出版社,2017-01-10,100%推荐,毛姆 著，徐淳刚 译，大星文化 出品，作家榜经典文库，高更 绘,4
789902条评论,http://product.dangdang.com/23990140.html,《正面管教》修订版（家长批量购买电话 01057993010）,¥18.00,北京联合出版公司,2016-07-01,100%推荐,[美] 简·尼尔森,5
1046260条评论,http://product.dangdang.com/25252408.html,神奇校车·图画书版（全12册，新增《科学博览会》1册）,¥99.00,贵州人民出版社,2018-05-10,100%推荐,"(美)乔安娜柯尔 著 ,(美)布鲁斯·迪根 图",6
59102条评论,http://product.dangdang.com/26921715.html,人生海海（莫言盛赞！董卿、高晓松反复阅读，杨洋、李健倾力推荐,¥27.50,北京十月文艺出版社,2019-04-16,100%推荐,麦家  著 ，新经典  出品,7
521102条评论,http://product.dangdang.com/24198400.html,我喜欢生命本来的样子(周国平经典散文作品集),¥43.20,作家出版社,2017-02-01,99.8%推荐,周国平,8
206725条评论,http://product.dangdang.com/25259300.html,流浪的地球（刘慈欣著，无删节无改写，大人孩子均可阅读，此版本,¥13.00,浙江教育出版社,2018-05-01,100%推荐,刘慈欣 著，张荣梅 策划，小当当童书馆 出品,9
761748条评论,http://product.dangdang.com/23579654.html,三体：全三册 刘慈欣代表作，亚洲首部“雨果奖”获奖作品！,¥46.50,重庆出版社,2010-11-01,99.7%推荐,刘慈欣,10
1308771条评论,http://product.dangdang.com/25119332.html,东野圭吾：白夜行（2017版，易烊千玺、韩雪推荐，东野圭吾无冕之,¥41.10,南海出版公司,2017-08-09,100%推荐,[日]东野圭吾 著，新经典 出品,11
2409374条评论,http://product.dangdang.com/25238195.html,追风筝的人（2018年新版）,¥18.00,上海人民出版社,2006-05-01,100%推荐,[美]卡勒德·胡赛尼（Khaled Hosseini） 著，李继宏 译,12
2107563条评论,http://product.dangdang.com/23464478.html,东野圭吾：解忧杂货店（胡歌、王俊凯、刘昊然倾情推荐，东野圭吾,¥27.30,南海出版公司,2014-05-01,99.9%推荐,(日)东野圭吾 著，新经典 出品,13
244607条评论,http://product.dangdang.com/25180441.html,好看的皮囊千篇一律，有趣的灵魂万里挑一（老杨的猫头鹰最新作品,¥35.40,现代出版社,2017-11-11,99.9%推荐,老杨的猫头鹰,14
721981条评论,http://product.dangdang.com/23604128.html,皮囊（畅销300万册的国民读本，刘德华、李敬泽作序。繁体版面世即,¥37.80,天津人民出版社,2014-12-01,99.9%推荐,蔡崇达 著，果麦文化 出品,15
219952条评论,http://product.dangdang.com/23457691.html,养育男孩（典藏版）,¥28.80,中信出版社,2014-04-01,100%推荐,（澳）史蒂夫 比达尔夫　著，丰俊功，宋修华　译,16
83783条评论,http://product.dangdang.com/25247638.html,谈判：如何在博弈中获得更多(第四版)Everything is Negotiable,¥36.90,民主与建设出版社,2018-04-06,99.9%推荐,(英) 盖温·肯尼迪 (Gavin Kennedy),17
203090条评论,http://product.dangdang.com/25142121.html,墨菲定律,¥25.60,古吴轩出版社,2017-08-01,99.9%推荐,张文成   著，文通天下  出品,18
571974条评论,http://product.dangdang.com/24044642.html,如何说孩子才会听 怎么听孩子才肯说（全新修订版）,¥28.00,中央编译出版社,2016-09-01,100%推荐,（美）玛兹丽施　著，安燕玲　译 青豆书坊 出品,19
156841条评论,http://product.dangdang.com/25336319.html,漫长的告别（怪不得村上春树读了12遍！每每陷入困境，村上春树便,¥58.70,海南出版社,2018-08-23,99.9%推荐,雷蒙德·钱德勒 著；姚向辉 译；读客文化 出品,20
981152条评论,http://product.dangdang.com/23751637.html,浮生六记（汪涵、胡歌推荐，畅销300万册。沈复给芸娘的绝美情书）,¥30.40,天津人民出版社,2015-08-01,99.9%推荐,沈复 著 ， 张佳玮 译，果麦文化 出品,21
23031条评论,http://product.dangdang.com/26917419.html,埃及四千年（破解四千年王朝兴衰秘密的里程碑式巨作）,¥81.40,浙江文艺出版社,2019-03-01,99.9%推荐,[英]乔安·弗莱彻,22
139586条评论,http://product.dangdang.com/25223949.html,董卿：做一个有才情的女子,¥35.40,百花洲文艺出版社,2018-02-01,99.9%推荐,乔瑞玲 著，轻阅时光 出品,23
51797条评论,http://product.dangdang.com/25201182.html,苏菲的世界（软精装）八年级下册自主阅读推荐,¥48.00,作家出版社,2017-12-07,100%推荐,乔斯坦·贾德,24
1314506条评论,http://product.dangdang.com/25138856.html,马尔克斯：百年孤独（50周年纪念版）,¥41.30,南海出版公司,2017-08-01,100%推荐,加西亚·马尔克斯 著，新经典 出品,25
403555条评论,http://product.dangdang.com/24015725.html,你的善良必须有点锋芒,¥28.70,古吴轩出版社,2016-09-01,99.9%推荐,慕颜歌  著，文通天下  出品,26
190248条评论,http://product.dangdang.com/24030562.html,百年童话绘本·典藏版（全套30册）当当2018年度常青藤畅销书奖，,¥153.10,北京联合出版公司,2016-09-15,100%推荐,(美）莱曼·弗兰克·鲍姆，（德）格林兄弟，（丹）安徒生等著，张荣梅 策划，小当当童书馆 出品,27
1149130条评论,http://product.dangdang.com/25285092.html,天才在左 疯子在右(2018全新完整版),¥45.10,北京联合出版有限公司,2018-05-01,100%推荐,高铭 著，磨铁图书 出品,28
1029631条评论,http://product.dangdang.com/25298376.html,小王子（袁泉推荐，畅销350万册，作者基金会官方认证简体中文版）,¥33.80,天津人民出版社,2018-06-03,100%推荐,（法）安托万·德·圣埃克苏佩里，译者 李继宏，果麦文化 出品,29
533487条评论,http://product.dangdang.com/23445575.html,万历十五年 一本好书 腾讯视频栏目推荐,¥24.70,生活.读书.新知三联书店,2006-06-01,99.8%推荐,黄仁宇,30
322446条评论,http://product.dangdang.com/25334272.html,非暴力沟通,¥46.50,华夏出版社,2018-08-31,100%推荐,（美）马歇尔?卢森堡著   阮胤华译,31
98487条评论,http://product.dangdang.com/24516876.html,沉默的大多数（手稿珍藏版）,¥21.00,北京十月文艺出版社,2017-04-01,100%推荐,王小波 著，新经典 出品,32
699433条评论,http://product.dangdang.com/23444350.html,神奇校车·桥梁书版（全20册）,¥75.00,贵州人民出版社,2014-04-01,99.9%推荐,乔安娜柯尔　著 布鲁斯迪根 图　施芳　译,33
11659条评论,http://product.dangdang.com/26918687.html,幽微的人性,¥35.40,北京联合出版有限公司,2019-04-01,100%推荐,李玫瑾,34
667154条评论,http://product.dangdang.com/23964981.html,自在独行 贾平凹的独行世界（畅销300万册的国民精神读本，中国作,¥29.30,长江文艺出版社,2016-05-01,99.9%推荐,贾平凹 著 时代华语 出品,35
968554条评论,http://product.dangdang.com/25309905.html,半小时漫画中国史1+中国史2+中国史3+世界史（套装共4册，作者签章,¥135.70,江苏文艺出版社,2018-07-01,100%推荐,陈磊（笔名：二混子） 著；读客文化 出品,36
178961条评论,http://product.dangdang.com/25190564.html,罗生门（芥川龙之介小说集）《人间失格》作者太宰治是芥川的头号,¥26.00,时代文艺出版社,2017-12-01,100%推荐,［日］芥川龙之介 著，高慧勤 译,37
135636条评论,http://product.dangdang.com/23457690.html,养育女孩,¥28.80,中信出版社,2014-04-01,100%推荐,Steve Biddulph,38
255507条评论,http://product.dangdang.com/23878838.html,米小圈脑筋急转弯（套装共4册）,¥30.90,四川少儿出版社,2016-01-01,100%推荐,北猫,39
477963条评论,http://product.dangdang.com/24041704.html,东野圭吾：恶意（2016版，东野圭吾四大杰作之一）,¥27.30,南海出版公司,2016-11-01,100%推荐,东野圭吾 著，娄美莲 译，新经典 出品,40
471262条评论,http://product.dangdang.com/23566280.html,人性的弱点（薛之谦推荐，畅销100万册）【果麦经典】,¥30.40,天津人民出版社,2014-09-01,99.9%推荐,戴尔·卡耐基 著，陶曚 译，果麦文化 出品,41
810207条评论,http://product.dangdang.com/20039611.html,小熊和最好的爸爸（全7册）,¥17.50,贵州人民出版社,2007-11-01,99.6%推荐,（荷）阿兰德·丹姆  著，（荷）亚历克斯·沃尔夫  绘，漆仰平，爱桐  译,42
1199938条评论,http://product.dangdang.com/23694647.html,摆渡人（系列畅销千万册。如果命运是一条孤独的河流，谁会是你灵,¥31.00,百花洲文艺出版社,2015-06-01,99.9%推荐,[英]克莱儿·麦克福尔，白马时光 出品,43
110481条评论,http://product.dangdang.com/23909227.html,不吼不叫：如何平静地让孩子与父母合作,¥25.00,上海社会科学院出版社,2016-03-01,100%推荐,"[美]罗娜·雷纳 著,钟煜 译 青豆书坊 出品",44
5051条评论,http://product.dangdang.com/26772389.html,情商：一本给孩子的人生格局书,¥30.40,青岛出版社,2019-03-01,100%推荐,"顾长安 韦秀英 著,  悦读纪 出品",45
597308条评论,http://product.dangdang.com/23427436.html,写给儿童的中国历史（全14册）,¥177.50,新世界出版社,2014-04-01,99.9%推荐,陈卫平著 步印童书 出品,46
455510条评论,http://product.dangdang.com/23271503.html,断舍离,¥28.50,广西科学技术出版社,2013-07-01,99.9%推荐,(日)山下英子,47
38687条评论,http://product.dangdang.com/26516153.html,局外人（如果你在人群中感到格格不入，一定要读《局外人》 ！全新,¥38.30,江苏凤凰文艺出版社,2019-03-01,100%推荐,[法]加缪,48
522411条评论,http://product.dangdang.com/23778791.html,少年读史记（套装全5册）,¥50.00,青岛出版社,2015-09-01,99.9%推荐,张嘉骅,49
656706条评论,http://product.dangdang.com/24026269.html,所谓情商高，就是会说话,¥24.90,北京联合出版公司,2016-09-01,99.9%推荐,佐佐木圭一 著 程亮 译 时代华语 出品,50
460715条评论,http://product.dangdang.com/23716798.html,霍乱时期的爱情（2015版）  一本好书 腾讯视频栏目推荐,¥34.20,南海出版公司,2015-06-01,99.9%推荐,（哥伦）马尔克斯　 著，杨玲 译，新经典 出品,51
173459条评论,http://product.dangdang.com/25233424.html,DK幼儿百科全书——那些重要的事,¥69.00,中国大百科全书出版社,2017-07-01,100%推荐,英国DK公司,52
168893条评论,http://product.dangdang.com/23691200.html,鬼谷子—中华经典藏书（平装）,¥26.30,吉林美术出版社,2015-03-01,99.9%推荐,（战国）鬼谷子 著 ; 陈默 译注,53
213431条评论,http://product.dangdang.com/24144615.html,我不敢说，我怕被骂,¥17.40,北京联合出版公司,2016-09-01,100%推荐,文：〔荷兰〕皮姆?范?赫斯特  图：〔荷兰〕妮可?塔斯马,54
17655条评论,http://product.dangdang.com/26920352.html,简单，应对复杂世界的利器,¥41.70,北方文艺出版社,2019-03-01,99.9%推荐,姬晓安 著 六人行图书出品,55
144882条评论,http://product.dangdang.com/25284537.html,手不是用来打人的（儿童好品德系列，全5册）,¥49.50,贵州教育出版社,2018-04-01,100%推荐,（美）伊丽莎白·弗迪克等著 陈薇薇、刘宣谷译 步印童书 出品,56
444225条评论,http://product.dangdang.com/25209814.html,生活需要仪式感 （把温暖和感动带给你在乎的人）,¥31.50,山东文艺出版社,2017-12-20,99.9%推荐,李思圆 著，文通天下 出品,57
1211442条评论,http://product.dangdang.com/25284154.html,我们仨（新版）,¥15.00,生活.读书.新知三联书店,2018-06-01,100%推荐,杨绛,58
739313条评论,http://product.dangdang.com/22819334.html,围城,¥24.90,人民文学出版社,1991-02-01,100%推荐,钱钟书　著,59
88290条评论,http://product.dangdang.com/25303287.html,且听风吟（2018年新版，村上春树的处女作）,¥17.70,上海译文出版社,2018-06-01,100%推荐,[日]村上春树 著 林少华 译,60
66639条评论,http://product.dangdang.com/22790547.html,全球最美的100个地方 图说天下 国家地理,¥14.00,北京联合出版公司,2012-06-01,99.8%推荐,<图说天下.国家地理系列>编委会,61
185556条评论,http://product.dangdang.com/25246609.html,乌合之众 : 大众心理研究,¥21.80,民主与建设出版社,2018-04-06,99.9%推荐,(法) 古斯塔夫·勒庞 著，马晓佳 译,62
13788条评论,http://product.dangdang.com/25221447.html,墨菲定律,¥33.60,中国商业出版社,2018-02-02,99.8%推荐,阳知行,63
249948条评论,http://product.dangdang.com/25160766.html,许三观卖血记（新版）,¥32.00,作家出版社,2017-09-12,100%推荐,余华,64
138802条评论,http://product.dangdang.com/25208978.html,房思琪的初恋乐园,¥22.50,北京联合出版有限公司,2018-02-01,99.9%推荐,林奕含 著，磨铁图书 出品,65
220744条评论,http://product.dangdang.com/25239529.html,挪威的森林（2018年新版，村上春树的残酷青春物语，现象级的超级,¥21.80,上海译文出版社,2018-03-01,100%推荐,【日】村上春树 林少华 译,66
206722条评论,http://product.dangdang.com/25259302.html,银火箭少年科幻系列 （8册。亚洲首位“雨果奖”得主刘慈欣主编，,¥115.20,浙江教育出版社,2018-04-02,100%推荐,刘慈欣、[英]赫伯特·乔治·威尔斯、[英]玛丽·雪莱等 著，张荣梅 策划，小当当童书馆 出品,67
1122129条评论,http://product.dangdang.com/23685329.html,岛上书店（每个人的生命中，都有无比艰难的那一年，将人生变得美,¥29.80,江苏文艺出版社,2015-05-08,99.9%推荐,（美）加·泽文 Gabrielle Zevin 著；孙仲旭、李玉瑶 译；读客文化 出品,68
135837条评论,http://product.dangdang.com/23698038.html,格局 ： 思维决定出路，格局决定结局,¥9.90,江苏文艺出版社,2015-05-01,99.9%推荐,"何权峰 著,  悦读纪 出品",69
110071条评论,http://product.dangdang.com/20989573.html,三体（刘慈欣代表作，亚洲首部雨果奖获奖作品！）,¥13.30,重庆出版社,2008-01-01,99.7%推荐,刘慈欣,70
44255条评论,http://product.dangdang.com/24240336.html,丰子恺愿你一生清澈明朗,¥33.60,现代出版社,2017-03-29,100%推荐,丰子恺,71
363403条评论,http://product.dangdang.com/25126128.html,月亮和六便士（全新导读无删节详注版！ 半年创当当110000名读者五,¥22.70,时代文艺出版社,2017-09-01,100%推荐,〔英〕毛姆 著  苏福忠 译,72
110897条评论,http://product.dangdang.com/22463950.html,你就是孩子最好的玩具,¥25.10,南方出版社,2016-06-01,99.7%推荐,（美）金伯莉·布雷恩  著，夏欣茁 译,73
560403条评论,http://product.dangdang.com/23967348.html,我的第一本地理启蒙书,¥24.90,新世界出版社,2016-06-01,99.9%推荐,郑利强 段虹(绘) 步印童书 出品,74
54556条评论,http://product.dangdang.com/24196629.html,暗恋·橘生淮南（胡一天、胡冰卿主演电视剧已官宣，朱颜曼滋、赵,¥43.00,长江文艺出版社,2017-03-01,100%推荐,八月长安,75
125569条评论,http://product.dangdang.com/25307907.html,薛兆丰经济学讲义,¥66.60,中信出版社,2018-07-01,99.9%推荐,薛兆丰,76
393839条评论,http://product.dangdang.com/23715237.html,人间词话（近代极富盛名的词话著作，集编、校、释、评于一体，赏,¥23.80,北京联合出版公司,2015-06-01,99.9%推荐,王国维　著,77
353620条评论,http://product.dangdang.com/25154687.html,富爸爸穷爸爸（20周年修订版）（团购，请致电400-106-6666转6）,¥45.50,四川人民出版社,2017-09-30,100%推荐,【美】罗伯特·清崎,78
386609条评论,http://product.dangdang.com/23718322.html,无声告白（我们终此一生，就是要摆脱他人的期待，找到真正的自己,¥29.80,江苏文艺出版社,2016-09-01,99.9%推荐,（美）伍绮诗 著，孙璐 译；读客文化 出品,79
474748条评论,http://product.dangdang.com/20971873.html,瓦尔登湖(珍藏本) 朗读者朗读书目,¥20.20,中国三峡出版社,2010-12-01,99.6%推荐,（美）梭罗,80
57031条评论,http://product.dangdang.com/23717136.html,傲慢与偏见 世界名著典藏,¥15.60,中央编译出版社,2015-04-01,100%推荐,（英） 奥斯丁　著，罗良功　译,81
199276条评论,http://product.dangdang.com/22745425.html,四五快读 全彩图升级版——幼儿快速识字阅读法（全8册）(让孩子爱,¥211.40,湖南科技出版社,2012-02-01,99.9%推荐,杨其铎　著,82
317274条评论,http://product.dangdang.com/25072421.html,外婆的道歉信（马思纯领读书目，人民日报、央视推荐。年度口碑爆,¥39.90,天津人民出版社,2017-05-01,99.9%推荐,[瑞典]弗雷德里克·巴克曼，译者 孟汇一，果麦文化 出品,83
215010条评论,http://product.dangdang.com/25092039.html,活着（精装版，余华代表作，易烊千玺推荐阅读版本）,¥26.20,北京十月文艺出版社,2017-06-01,100%推荐,余华 著，新经典 出品,84
289064条评论,http://product.dangdang.com/25124059.html,好妈妈胜过好老师（700万册纪念版）,¥49.00,作家出版社,2017-08-08,100%推荐,尹建莉,85
122237条评论,http://product.dangdang.com/25236263.html,如何培养孩子的社会能力,¥20.70,北京联合出版有限公司,2018-02-01,100%推荐,[美] 默娜·B.舒尔博士，[美] 特里萨·弗伊·迪吉若尼莫 著；张雪兰 译,86
583843条评论,http://product.dangdang.com/23808035.html,这就是二十四节气（中国二十四节气彩绘版，文津图书奖获奖绘本，,¥50.00,海豚出版社,2015-09-01,99.9%推荐,高春香，邵敏 著，许明振，李婧 绘,87
685160条评论,http://product.dangdang.com/23490646.html,东野圭吾：嫌疑人X的献身（王凯、张鲁一推荐，至为纯粹的爱情，绝,¥27.60,南海出版公司,2014-06-01,100%推荐,东野圭吾 著，刘子倩 译，新经典 出品,88
30488条评论,http://product.dangdang.com/26513887.html,读懂孩子的心：樊登2019年新书.,¥30.80,中国友谊出版公司,2019-03-01,100%推荐,樊登,89
252241条评论,http://product.dangdang.com/25279755.html,杀死一只知更鸟（纪念版）,¥25.10,译林出版社,2018-03-01,100%推荐,"哈珀.李 著,",90
101543条评论,http://product.dangdang.com/25278075.html,观山海  “百鬼画师”杉泽绝美诠释山海经,¥126.00,湖南文艺出版社,2018-06-01,99.9%推荐,"杉泽 著,博集天卷 出品",91
603898条评论,http://product.dangdang.com/23257828.html,不一样的卡梅拉手绘本（1-12册）,¥54.60,２１世纪出版社,2013-06-01,99.9%推荐,"（法）克利斯提昂 约里波瓦著郑迪蔚译 ,（法）克利斯提昂 艾利施绘",92
36378条评论,http://product.dangdang.com/25338790.html,神奇的逻辑思维游戏书,¥21.90,北京日报出版社（原同心出版社）,2018-10-01,100%推荐,【日】索尼国际教育公司 著，阳光博客 出品,93
236055条评论,http://product.dangdang.com/23976685.html,米小圈漫画成语（套装共4册）,¥35.70,四川少儿出版社,2016-05-01,100%推荐,北猫,94
488540条评论,http://product.dangdang.com/25288851.html,你坏（大冰作品。一年销量突破280万册。用《你坏》向你说声：你好,¥26.60,湖南文艺出版社,2018-06-11,100%推荐,"大冰 著,博集天卷 出品",95
169253条评论,http://product.dangdang.com/25261327.html,米小圈上学记一年级（套装共4册）,¥50.00,四川少儿出版社,2018-04-01,100%推荐,北猫,96
349915条评论,http://product.dangdang.com/25314250.html,第七天（2018版）,¥23.70,新星出版社,2018-08-01,100%推荐,余华,97
487660条评论,http://product.dangdang.com/25174289.html,自控力（畅销300万册纪念版！斯坦福大学广受欢迎的心理学课程！从,¥40.80,文化发展出版社,2017-10-31,100%推荐,（美）凯利?麦格尼格尔 著，磨铁图书 出品,98
95977条评论,http://product.dangdang.com/24203014.html,愿你，归来仍是少年（林清玄启悟人生系列）,¥19.70,长江文艺出版社,2017-03-15,100%推荐,林清玄,99
49088条评论,http://product.dangdang.com/26909220.html,东野圭吾：毕业（《恶意》系列开篇之作）,¥28.70,南海出版公司,2019-03-01,100%推荐,（日）东野圭吾  著 ，新经典  出品,100
128505条评论,http://product.dangdang.com/23793108.html,PET  P.E.T.父母效能训练:让亲子沟通如此高效而简单,¥33.60,中国发展出版社,2015-09-01,100%推荐,（美）戈登　著，琼林　译,101
27427条评论,http://product.dangdang.com/23562339.html,人性的弱点（权威译本）,¥19.90,吉林美术出版社,2014-09-01,99.8%推荐,（美）卡耐基　著，田冬　译,102
359162条评论,http://product.dangdang.com/25295369.html,云边有个小卖部,¥23.10,湖南文艺出版社,2018-07-01,100%推荐,"张嘉佳 著,博集天卷 出品",103
225610条评论,http://product.dangdang.com/24242914.html,三毛全集02：撒哈拉的故事（1-9年级必读书单）,¥24.20,北京十月文艺出版社,2017-04-01,100%推荐,三毛 著，新经典 出品,104
186653条评论,http://product.dangdang.com/23932960.html,阿米巴经营——畅销十周年纪念版，当当全国独家（团购，请致电40,¥27.30,中国大百科全书出版社,2016-03-01,99.9%推荐,[日]稻盛和夫 著，曹岫云 译,105
124236条评论,http://product.dangdang.com/25261323.html,米小圈上学记二年级（套装共4册）,¥50.00,四川少儿出版社,2018-04-01,100%推荐,北猫,106
156727条评论,http://product.dangdang.com/21086025.html,我喜欢自己,¥13.90,河北教育出版社,2011-05-01,100%推荐,（美）卡尔森　著，余治莹　译,107
